Threshold,FPR,TPR,ACC
0.0,0.0,1.0,0.9959563283461383
0.01,0.0,1.0,0.9959563283461383
0.02,0.0,1.0,0.9959563283461383
0.03,0.0,1.0,0.9959563283461383
0.04,0.0,1.0,0.9959563283461383
0.05,0.0,1.0,0.9959563283461383
0.06,0.0,1.0,0.9959563283461383
0.07,0.0,1.0,0.9959563283461383
0.08,0.0,1.0,0.9959563283461383
0.09,0.0,1.0,0.9959563283461383
0.1,0.0,1.0,0.9959563283461383
0.11,0.0,1.0,0.9959563283461383
0.12,0.0,1.0,0.9959563283461383
0.13,0.0,1.0,0.9959563283461383
0.14,0.0,1.0,0.9959563283461383
0.15,0.0,1.0,0.9959563283461383
0.16,0.0,1.0,0.9959563283461383
0.17,0.0,1.0,0.9959563283461383
0.18,0.0,1.0,0.9959563283461383
0.19,0.0,1.0,0.9959563283461383
0.2,0.0,1.0,0.9959563283461383
0.21,0.0,1.0,0.9959563283461383
0.22,0.0,1.0,0.9959563283461383
0.23,0.0,1.0,0.9959563283461383
0.24,0.0,1.0,0.9959563283461383
0.25,0.0,1.0,0.9959563283461383
0.26,0.0,1.0,0.9959563283461383
0.27,0.0,1.0,0.9959563283461383
0.28,0.0,1.0,0.9959563283461383
0.29,0.0,1.0,0.9959563283461383
0.3,0.0,1.0,0.9959563283461383
0.31,0.0,1.0,0.9959563283461383
0.32,0.0,1.0,0.9959563283461383
0.33,0.0,1.0,0.9959563283461383
0.34,0.0,1.0,0.9959563283461383
0.35000000000000003,0.0,1.0,0.9959563283461383
0.36,0.0,1.0,0.9959563283461383
0.37,0.0,1.0,0.9959563283461383
0.38,0.0,1.0,0.9959563283461383
0.39,0.0,1.0,0.9959563283461383
0.4,0.0,1.0,0.9959563283461383
0.41000000000000003,0.0,1.0,0.9959563283461383
0.42,0.0,1.0,0.9959563283461383
0.43,0.0,1.0,0.9959563283461383
0.44,0.0,1.0,0.9959563283461383
0.45,0.0,1.0,0.9959563283461383
0.46,0.0,1.0,0.9959563283461383
0.47000000000000003,0.0,1.0,0.9959563283461383
0.48,0.0,1.0,0.9959563283461383
0.49,0.0,1.0,0.9959563283461383
0.5,0.0,1.0,0.9959563283461383
0.51,0.0,1.0,0.9959563283461383
0.52,0.0,1.0,0.9959563283461383
0.53,0.0,1.0,0.9959563283461383
0.54,0.0,1.0,0.9959563283461383
0.55,0.0,1.0,0.9959563283461383
0.56,0.0,1.0,0.9959563283461383
0.5700000000000001,0.0,1.0,0.9959563283461383
0.58,0.0,1.0,0.9959563283461383
0.59,0.0,1.0,0.9959563283461383
0.6,0.0,1.0,0.9959563283461383
0.61,0.0,1.0,0.9959563283461383
0.62,0.0,1.0,0.9959563283461383
0.63,0.0,1.0,0.9959563283461383
0.64,0.0,1.0,0.9959563283461383
0.65,0.00020300446568614604,0.9997969955339018,0.9957541447634453
0.66,0.00020300446568614604,0.9997969955339018,0.9957541447634453
0.67,0.00020300446568614604,0.9997969955339018,0.9959563283461383
0.68,0.00020300446568614604,0.9997969955339018,0.9959563283461383
0.6900000000000001,0.0006090133970584381,0.9993909866017052,0.9959563283461383
0.7000000000000001,0.0012180267941168763,0.9987819732034104,0.9959563283461383
0.71,0.0020300446568614606,0.9979699553390174,0.9957541447634453
0.72,0.0030450669852921906,0.9969549330085262,0.9955519611807522
0.73,0.0038570848480367747,0.9961429151441332,0.9947432268499797
0.74,0.005075111642153651,0.9949248883475437,0.9937323089365143
0.75,0.005887129504898235,0.9941128704831507,0.9931257581884351
0.76,0.006902151833328965,0.9930978481526593,0.9921148402749697
0.77,0.007308160764701257,0.9926918392204629,0.9917104731095835
0.78,0.009135200955876572,0.9908647990255786,0.9902951880307319
0.79,0.012180267941168763,0.9878197320341048,0.9876668014557218
0.8,0.015631343857833244,0.9843686561104344,0.9844318641326324
0.81,0.01948842870587002,0.9805115712545676,0.9805903760614638
0.8200000000000001,0.02923264305880503,0.9707673568818515,0.9708855640921957
0.8300000000000001,0.04323995119114911,0.9567600487210719,0.9569348968863728
0.84,0.05927730398035464,0.9407226958993098,0.9409623938536191
0.85,0.08302882646563373,0.916971173365814,0.9173069146785281
0.86,0.10414129089699292,0.8958587088915956,0.8962798220784473
0.87,0.13337393395579794,0.866626065773447,0.867165386170643
0.88,0.1741778315587133,0.8258221680876979,0.8265264860493328
0.89,0.22878603282828658,0.7712139667072676,0.7721391023048928
0.9,0.2998375958184377,0.7001624035728786,0.701374848362313
0.91,0.3769792927791732,0.623020706455542,0.6245450869389405
0.92,0.4510759227546165,0.5489240763296792,0.5507480792559644
0.93,0.5278116107839798,0.4721883881445392,0.47432268499797814
0.9400000000000001,0.6069833524015766,0.3930166463662201,0.39547108774767487
0.9500000000000001,0.6902151833328966,0.3097848152659359,0.31257581884350993
0.96,0.7653268356367706,0.2346731628095818,0.23776789324706835
0.97,0.8406414924063308,0.15935850588712952,0.16275778406793368
0.98,0.9094600062739343,0.09053999187982135,0.09421754953497775
0.99,0.9679252923915443,0.03207470564352416,0.035988677719369186
